Project Name,Transacted Price ($),Area (SQFT),Unit Price ($ PSF),Sale Date,Street Name,Type of Sale,Type of Area,Area (SQM),Unit Price ($ PSM),Nett Price($),Property Type,Number of Units,Tenure,Postal District,Market Segment,Floor Level
TANGLIN VIEW,"2,240,000","1,140.98","1,963",Jun-25,PRINCE CHARLES CRESCENT,Resale,Strata,106,"21,132",-,Condominium,1,99 yrs lease commencing from 1997,03,Rest of Central Region,11 to 15
HAIG COURT,"2,988,888","1,442.38","2,072",Jun-25,HAIG ROAD,Resale,Strata,134,"22,305",-,Condominium,1,Freehold,15,Rest of Central Region,11 to 15
THE HILL @ONE-NORTH,"2,489,530","1,033.34","2,409",Jun-25,SLIM BARRACKS RISE,New Sale,Strata,96,"25,933",-,Apartment,1,99 yrs lease commencing from 2022,05,Rest of Central Region,01 to 05
J'DEN,"3,535,000","1,485.43","2,380",Jun-25,JURONG EAST CENTRAL 1,New Sale,Strata,138,"25,616",-,Apartment,1,99 years leasehold,22,Outside Central Region,16 to 20
YISHUN EMERALD,"1,452,500","1,399.32","1,038",Jun-25,CANBERRA DRIVE,Resale,Strata,130,"11,173",-,Condominium,1,99 yrs lease commencing from 1998,27,Outside Central Region,01 to 05
COCO PALMS,"850,000",462.85,"1,836",Jun-25,PASIR RIS GROVE,Resale,Strata,43,"19,767",-,Condominium,1,99 yrs lease commencing from 2008,18,Outside Central Region,06 to 10
HILLOCK GREEN,"1,915,000",785.77,"2,437",Jun-25,LENTOR CENTRAL,New Sale,Strata,73,"26,233",-,Apartment,1,99 yrs lease commencing from 2022,26,Outside Central Region,21 to 25
SOPHIA HILLS,"1,132,500",570.49,"1,985",Jun-25,MOUNT SOPHIA,Resale,Strata,53,"21,368",-,Condominium,1,99 yrs lease commencing from 2013,09,Core Central Region,01 to 05
ASPEN HEIGHTS,"2,050,000",882.65,"2,323",Jun-25,RIVER VALLEY ROAD,Resale,Strata,82,"25,000",-,Condominium,1,999 yrs lease commencing from 1841,09,Core Central Region,01 to 05
RAFFLESIA CONDOMINIUM,"1,400,000",914.94,"1,530",Jun-25,BISHAN STREET 21,Resale,Strata,85,"16,471",-,Condominium,1,99 yrs lease commencing from 1997,20,Rest of Central Region,16 to 20
PINETREE HILL,"3,051,000","1,216.33","2,508",Jun-25,PINE GROVE,New Sale,Strata,113,"27,000",-,Condominium,1,99 yrs lease commencing from 2022,21,Rest of Central Region,01 to 05
LENTORIA,"2,760,000","1,205.57","2,289",Jun-25,LENTOR HILLS ROAD,New Sale,Strata,112,"24,643",-,Condominium,1,99 yrs lease commencing from 2022,26,Outside Central Region,06 to 10
JADE RESIDENCES,"1,580,000",861.12,"1,835",Jun-25,LEW LIAN VALE,Resale,Strata,80,"19,750",-,Apartment,1,Freehold,19,Outside Central Region,01 to 05
THE VIRIDIAN,"1,468,000",893.41,"1,643",Jun-25,JALAN AMPAS,Resale,Strata,83,"17,687",-,Apartment,1,Freehold,12,Rest of Central Region,06 to 10
CLOVER BY THE PARK,"2,550,000","1,216.33","2,096",Jun-25,BISHAN STREET 25,Resale,Strata,113,"22,566",-,Condominium,1,99 yrs lease commencing from 2007,20,Rest of Central Region,36 to 40
BLOOMSBURY RESIDENCES,"2,208,000",904.18,"2,442",Jun-25,MEDIA CIRCLE,New Sale,Strata,84,"26,286",-,Apartment,1,99 yrs lease commencing from 2024,05,Rest of Central Region,06 to 10
HILLSTA,"1,060,000",753.48,"1,407",Jun-25,PHOENIX ROAD,Resale,Strata,70,"15,143",-,Condominium,1,99 yrs lease commencing from 2011,23,Outside Central Region,21 to 25
COASTLINE RESIDENCES,"1,980,000",710.42,"2,787",Jun-25,AMBER ROAD,Resale,Strata,66,"30,000",-,Apartment,1,Freehold,15,Rest of Central Region,11 to 15
CHANGI GREEN,"1,250,000","1,001.05","1,249",Jun-25,UPPER CHANGI ROAD EAST,Resale,Strata,93,"13,441",-,Condominium,1,Freehold,16,Outside Central Region,01 to 05
THOMSON 800,"3,218,000","1,625.36","1,980",Jun-25,THOMSON ROAD,Resale,Strata,151,"21,311",-,Condominium,1,Freehold,11,Core Central Region,06 to 10
PARC CLEMATIS,"1,010,000",505.91,"1,996",Jun-25,JALAN LEMPENG,Resale,Strata,47,"21,489",-,Apartment,1,99 yrs lease commencing from 2019,05,Outside Central Region,21 to 25
NEPTUNE COURT,"1,270,000","1,270.15","1,000",Jun-25,MARINE VISTA,Resale,Strata,118,"10,763",-,Apartment,1,99 yrs lease commencing from 1976,15,Outside Central Region,06 to 10
ECHELON,"905,888",452.09,"2,004",Jun-25,ALEXANDRA VIEW,Resale,Strata,42,"21,569",-,Condominium,1,99 yrs lease commencing from 2012,03,Rest of Central Region,31 to 35
PARC ESTA,"1,075,888",452.09,"2,380",Jun-25,SIMS AVENUE,Resale,Strata,42,"25,616",-,Apartment,1,99 yrs lease commencing from 2018,14,Rest of Central Region,16 to 20
